created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Sep 30 22:57:05 +0000 2023;1708254670446362636;"Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk:  Tagihan PLN Harga Produk:  Rp1.000 Harga Diskon:  Rp1.000 | #ZAYYAN #LALISACRAZYGIRLSHOW #LISAxCRAZYHORSEPARIS #PetualanganSherina2 #Jessica #TWICE_5TH_WORLD_TOUR #XODIAC  https://t.co/JAfpgcTW1m";0;0;1;1;in;1682304793153523712;1708254670446362636;tokomawaddah10;https://twitter.com/tokomawaddah10/status/1708254670446362636
Sat Sep 30 19:22:12 +0000 2023;1708200590290166052;"Ngeditnya mewek.. merinding 😭💕  "What if..?"  @yurayunita bawa lagu ini sama Sherina..   ..umur 10 tahun.  #petsher2 #PetualanganSherina2 #PetualanganSherina @FilmPetSher @BaseEntID @WatchmenID @txtanakbioskop @sobatmusik @MirLes @Derby_Rr @sherina https://t.co/QWoSveR2xV";34;9;178;413;in;900013274002989057;1708200590290166052;thepan_316;https://twitter.com/thepan_316/status/1708200590290166052
Sat Sep 30 18:22:49 +0000 2023;1708185645510996447;"When you gabut malem-malem dan akhirnya bikin sticker #PetualanganSherina2 🤣  Credit to meme dari mimin @FilmPetSher   https://t.co/qvAgOv8pBt https://t.co/yfycyFrvdn";0;0;0;1;in;716908349040697344;1708185645510996447;_erenef;https://twitter.com/_erenef/status/1708185645510996447
Sat Sep 30 18:01:28 +0000 2023;1708180276311122248;"Terimakasih film #PetualanganSherina2 sudah memberikan kenangan yang mau diulang lagi besok untuk nonton kembali. https://t.co/xEbp2Y3xZP";0;0;0;0;in;775314549876502528;1708180276311122248;Fgmina29;https://twitter.com/Fgmina29/status/1708180276311122248
Sat Sep 30 17:57:00 +0000 2023;1708179151650542059;"Terimakasih banyak #PetualanganSherina2 sepertinya suami mau nonton lagi. Dia ga bisa move on habis nonton tadi 😁 https://t.co/DYWkaDhOBT";0;0;0;0;in;775314549876502528;1708179151650542059;Fgmina29;https://twitter.com/Fgmina29/status/1708179151650542059
Sat Sep 30 17:14:18 +0000 2023;1708168405852082208;"Sedihnya #PetualanganSherina2 adalah fakta bahwa kita sudah jadi orang dewasa :’";0;0;0;0;in;131083013;1708168405852082208;staypinkkk;https://twitter.com/staypinkkk/status/1708168405852082208
Sat Sep 30 17:09:26 +0000 2023;1708167178133135644;"Bernostalgia bersama “petualangan sherina 2” tentunya time traveler ini takkan sukses tanpa sabarnya ayah dan Musab hihiw love sekebon 🫶🏻 #PetualanganSherina2 https://t.co/hXEgNk4F0Q";0;0;0;0;in;131083013;1708167178133135644;staypinkkk;https://twitter.com/staypinkkk/status/1708167178133135644
Sat Sep 30 16:53:34 +0000 2023;1708163185659052218;"Super fun.  7,5 untuk nostalgia, soundtrack, dan isu konservasi binatang langka yang sangat jarang dibahas industri entertainment di Indonesia. [7.5/10] #PetualanganSherina2 https://t.co/2JaKEF72bO";0;1;0;0;in;87433608;1616097587836391425;4nd123w_;https://twitter.com/4nd123w_/status/1708163185659052218
Sat Sep 30 16:49:41 +0000 2023;1708162209434771591;"*3 Pemain Pendukung* #PetualanganSherina2: - Ardit Erwandha sbg sang kamerawan Aryo - Randy Danistha sbg Dedi, si penculik orut, n - Kelly Tandiono sbg Pingkan, si bodyguard galak https://t.co/biyo9TtR6r";0;0;0;0;in;1575338724;1708162209434771591;yan_widjaya;https://twitter.com/yan_widjaya/status/1708162209434771591
Sat Sep 30 16:36:51 +0000 2023;1708158979350933809;"Ngaku deh! lu lu pada jaman nonton Petualangan Sherina 1 pasti besoknya pada minta bekelin cokelat Cha-Cha ditarok Tupperware kan?? #nostalgia #PetualanganSherina2 https://t.co/Oug4zsNIuM";0;3;2;6;in;2266903087;1708158979350933809;cicitnyanobita;https://twitter.com/cicitnyanobita/status/1708158979350933809
Sat Sep 30 16:28:28 +0000 2023;1708156869972492785;"Stok Terbatas! #WTS Mandiri e-money Petualangan Sherina 2 Limited Edition Ready siap kirim via GoSend/Grab/JNE/J&amp T/SiCepat/AnterAja/Paxel sesuai pilihan 👉 https://t.co/h59IzZcJT9  #PetualanganSherina2 https://t.co/LlWOXSwDHp";0;0;0;0;in;78614197;1708156869972492785;moviegoersphile;https://twitter.com/moviegoersphile/status/1708156869972492785
Sat Sep 30 16:25:12 +0000 2023;1708156049948291210;"Nonton Film Petualangan Sherina 2 Nggak Betah https://t.co/iB0IzgCoi6   #petualangansherina2  #filmanakanak";0;0;0;1;in;232722796;1708156049948291210;Gol_A_Gong;https://twitter.com/Gol_A_Gong/status/1708156049948291210
Sat Sep 30 16:20:00 +0000 2023;1708154738204938525;"Film Petualangan Sherina 2 sudah tayang di bioskop sejak Kamis, 28 September 2023. Di hari pertama penayangannya, film Petualangan Sherina 2 berhasil mengajak 256.286 penonton ke bioskop.  #PetualanganSherina2   https://t.co/aEtc6dvr5V";0;0;0;0;in;902837643024539651;1708154738204938525;medcom_id;https://twitter.com/medcom_id/status/1708154738204938525
Sat Sep 30 16:19:18 +0000 2023;1708154565043057020;"kmrn akhirnya nnton #PetualanganSherina2  jg. Awalnya msh bingun mau nnton sm siapa tp kamis pagi udh d telfon sm adek berisik bgt pgn nnton petsher 2,eh ternyata ngajakin nyokap jg. Wkwk jd nostalgia Jg, soalnya dulu wktu nnton yg pertama nnton ya sm emak sm bapak krn ade gw - https://t.co/165jU1zXq8";0;1;0;4;in;1204181421289426944;1708154565043057020;Neutron_Sag;https://twitter.com/Neutron_Sag/status/1708154565043057020
Sat Sep 30 16:18:25 +0000 2023;1708154342258434066;"Selain spark dan chemistry, musikalitas yang langsung bikin kita nempel sama persepsi nostalgic-nya, adalah bagian terbaik dari #PetualanganSherina2 👍";0;0;0;1;in;61272946;1708154342258434066;danieldokter;https://twitter.com/danieldokter/status/1708154342258434066
Sat Sep 30 16:13:37 +0000 2023;1708153133648773500;"*Isyana Sarasvati* (30) pernah menjadi penyanyi opera di Singapura. Kini dalam film ke-3-nya, #PetualanganSherina2, berperan sbg Ratih, isteri konglomerat Syailendra yg kelewat snob sampai mengoleksi hewan2 langka cuma untuk pamer! https://t.co/ZaIDWnRmQN";0;0;1;6;in;1575338724;1708153133648773500;yan_widjaya;https://twitter.com/yan_widjaya/status/1708153133648773500
Sat Sep 30 16:08:53 +0000 2023;1708151941526897007;"Hari ini nonton #PetualanganSherina2   Filmnya Bagus.. mengingatkan memori masa kecil dulu di film petualangan sherina tahun 2000  Dan selalu suka sama lagu lihatlah lebih dekat makna nya bagus..  Kayaknya harus ada sesi nyanyi bareng di akhir film deh wkwkw  *maap suara ku jelek https://t.co/U8Mxo9kMYX";0;1;0;2;in;982941852;1708151941526897007;gitasundarii;https://twitter.com/gitasundarii/status/1708151941526897007
